frame,x1,y1,w,h,score,ms
499,26.87,255.77,233.06,69.06,0.6977,27.5
500,34.41,257.86,231.19,69.53,0.727,28.6
501,18.81,250.26,234.73,68.01,0.789,28.8
502,34.44,252.58,232.85,68.29,0.7936,27.9
503,32.91,254.5,232.37,69.63,0.9126,27.9
504,38.62,244.39,234.25,68.58,0.8977,28.4
505,36.73,248.93,234.16,69.52,0.8941,28.0
506,32.05,249.66,230.57,69.49,0.8327,28.2
507,28.0,251.32,230.1,69.98,0.8166,28.8
508,40.81,242.25,230.11,69.54,0.7495,27.9
509,35.94,249.87,230.08,68.83,0.9125,28.9
510,29.71,254.79,229.11,67.22,0.8984,27.4
511,21.71,259.14,229.3,67.35,0.7988,28.4
512,42.97,247.9,226.19,68.31,0.8302,27.3
513,41.76,251.86,225.94,69.0,0.8673,28.2
514,38.0,254.36,223.65,68.51,0.9466,27.1
515,13.53,262.99,224.73,68.92,0.5138,28.1
